UR	SF	FREQ
tdɨʂ	ddɨʂ	1
Vkif	fkif	1
ʂʑɔt	ʐʑɔt	1
Vkɛʂ	fkɛʂ	1
siʂʑ	siʐʑ	1
gzɔʑ	gzɔʑ	1
biʐk	biʂk	1
Vɛʐɕ	vɛʂɕ	1
tfiɕ	tfiɕ	1
dʂɛg	tʂɛg	1
dpuʂ	tpuʂ	1
zutɕ	zutɕ	1
suʑz	suʑz	1
sʑɛt	zʑɛt	1
bɔʑg	bɔʑg	1
ʑtiʐ	ɕtiʐ	1
zɛdʑ	zɛdʑ	1
ttɨʂ	ttɨʂ	1
ʑɛʂd	ʑɛʐd	1
VɨVʐ	vɨvʐ	1
kjkɕ	kjkɕ	1
ʐɨɕd	ʐɨʑd	1
ʂʐig	ʐʐig	1
gduʑ	gduʑ	1
dwdV	dwdv	1
fsjp	fsjp	1
ɕibb	ɕibb	1
ʑzis	ʑzis	1
ɕidz	ɕidz	1
fVuʑ	fvuʑ	1
kɕib	kɕib	1
pʑaz	bʑaz	1
gzɨp	gzɨp	1
psid	psid	1
ʑʐus	ʑʐus	1
fbad	vbad	1
bɔʑp	bɔɕp	1
bɛʑp	bɛɕp	1
gdaɕ	gdaɕ	1
guzz	guzz	1
fʑaɕ	vʑaɕ	1
kadb	kadb	1
zudʂ	zutʂ	1
ziVV	zivv	1
ʂɔtʂ	ʂɔtʂ	1
btɔɕ	ptɔɕ	1
dzɨs	dzɨs	1
swpʐ	swbʐ	1
ʐɔbd	ʐɔbd	1
pɔɕk	pɔɕk	1
gsɔt	ksɔt	1
ʐɔfʑ	ʐɔvʑ	1
tʑɛʂ	dʑɛʂ	1
gfɛt	kfɛt	1
kigs	kiks	1
ʑapk	ʑapk	1
pɨfʑ	pɨvʑ	1
ʑbjV	ʑbjv	1
pbig	bbig	1
tfjs	tfjs	1
ɕwʑp	ɕwɕp	1
tɕɔt	tɕɔt	1
zɨʑt	zɨɕt	1
ɕdwz	ʑdwz	1
kdɛd	gdɛd	1
ʐiʑf	ʐiɕf	1
ʑupʐ	ʑubʐ	1
tɔkb	tɔgb	1
kgjʂ	ggjʂ	1
sast	sast	1
ʑbaʑ	ʑbaʑ	1
fbjp	vbjp	1
sjʐd	sjʐd	1
Vifʐ	vivʐ	1
ʑwsʐ	ʑwzʐ	1
