UR	SF	FREQ
gtwd	ktwt	1
ʂfɨs	ʂfɨs	1
bɛzv	bɛzf	1
gfwk	kfwk	1
ʂjst	ʂjst	1
ʑɨft	ʑɨft	1
fbwb	vbwp	1
ʂɔVt	ʂɔft	1
sjfp	sjfp	1
sizk	sisk	1
ʑtud	ɕtut	1
gifp	gifp	1
bvɨv	bvɨf	1
zswz	ssws	1
vzwʑ	vzwɕ	1
ʑʂɨb	ɕʂɨp	1
bsɨʑ	psɨɕ	1
ʑutb	ʑudp	1
fzɨk	vzɨk	1
ʐigp	ʐikp	1
satg	sadk	1
fpud	fput	1
ʐaVp	ʐafp	1
kjkf	kjkf	1
ʐʑaʑ	ʐʑaɕ	1
gfɨɕ	kfɨɕ	1
pkɛʂ	pkɛʂ	1
pzav	bzaf	1
ʐsɛf	ʂsɛf	1
vuʂʂ	vuʂʂ	1
zɛfk	zɛfk	1
ptjd	ptjt	1
basɕ	basɕ	1
Vjʂf	vjʂf	1
kivz	kivs	1
vɨtV	vɨtf	1
tjvt	tjft	1
gupb	gubp	1
tvaz	dvas	1
tivb	tivp	1
fwbp	fwpp	1
fʑut	vʑut	1
VtwV	ftwf	1
giVk	gifk	1
ʑɕɛk	ɕɕɛk	1
vpuk	fpuk	1
Vwpv	vwbf	1
ɕtjb	ɕtjp	1
pɔʑv	pɔʑf	1
btis	ptis	1
vɛʑɕ	vɛɕɕ	1
zɔvt	zɔft	1
pɛbɕ	pɛpɕ	1
dkwʑ	tkwɕ	1
sfɔf	sfɔf	1
ʂvɛp	ʐvɛp	1
fwzʂ	fwsʂ	1
kɛʂʐ	kɛʐʂ	1
ʑsɨf	ɕsɨf	1
ʂbuf	ʐbuf	1
bɨvʐ	bɨvʂ	1
pɕɛp	pɕɛp	1
pjgɕ	pjkɕ	1
gbiV	gbif	1
ʐgwb	ʐgwp	1
faVg	favk	1
bsjt	psjt	1
bɔkʐ	bɔgʂ	1
